I_real,I_imag,V_real,V_imag
438.289265997994,161.55745417633833,4.25628,0
429.99111353297377,157.07615150516406,4.2547,0
433.1630110421965,158.60486194898925,4.25509,0
433.2608548592581,157.59002064732687,4.25126,0
436.21550106091706,159.842684772163,4.24892,0
438.29539983005304,158.94304990408966,4.24605,0
448.58420034337837,160.24271252787682,4.23658,0
456.4834378489517,163.74957158601111,4.24213,0
456.5690138785403,162.36835013935837,4.24127,0
462.66478890049024,165.54584021250668,4.24543,0
467.44820926963956,167.81636967711833,4.26233,0
460.11196213713407,164.53836302612382,4.25462,0
445.9996304410234,161.44872043615138,4.25425,0
445.10215016147157,159.47843748179503,4.24863,0
438.9724363962874,160.10383708177457,4.2583,0
443.4769581460715,160.30290450739662,4.25212,0
437.4231154354807,160.40392426221405,4.26048,0
428.8618061921564,157.59465406732969,4.25725,0
424.4319797305047,152.10174013154642,4.24089,0
419.9624811555538,153.34511179255472,4.25556,0
416.70788518225777,151.9051462292515,4.2521,0
427.6396641814336,151.81523824303898,4.24221,0
418.75404243724313,152.00200685013203,4.24227,0
417.8187933890284,149.73481162353812,4.2306,0
416.28404991423406,149.3812753058544,4.22816,0
414.10372755271726,149.22376394845733,4.22854,0
413.9938132038539,147.03133752004203,4.22063,0
414.7968543707604,147.90954413127713,4.22182,0
421.1744469011849,150.06775669170565,4.22025,0
424.6024463352023,150.94291809211077,4.23039,0
442.5145581942417,153.6535206565573,4.2342,0
464.35254582378434,156.40650044985424,4.23506,0
478.20909610906455,155.7487171297133,4.23975,0
491.7590795846544,160.16011717981962,4.23954,0
494.29802569766093,162.88787498274561,4.24736,0
496.266969271186,162.65239553843548,4.24308,0
502.4440354290071,162.49212786413594,4.24153,0
496.5368476209192,162.73120316546579,4.24747,0
500.6640245295275,166.43138209453372,4.25255,0
488.7905714416155,164.4119784893395,4.25478,0
