time,x,y
279.04,370,430
279.24,374,431
279.44,378,432
279.64,382,434
279.84,386,435
280.04,389,436
280.24,391,437
280.44,389,436
280.64,384,434
280.84,376,430
281.04,367,427
281.24,361,425
281.44,354,421
281.64,349,420
281.84,349,420
282.04,352,421
282.24,357,423
282.44,362,426
282.64,368,428
282.84,375,431
283.04,381,433
283.24,386,434
283.44,389,436
283.64,392,438
283.84,375,429
284.04,358,429
284.24,349,423
284.44,351,423
284.64,354,426
284.84,358,427
285.04,362,428
285.24,364,429
285.44,367,430
285.64,370,432
285.84,372,433
286.04,375,435
286.24,377,435
286.44,377,436
286.64,368,429
286.84,364,429
287.04,355,424
287.24,355,424
287.44,356,425
287.64,359,426
287.84,362,428
288.04,366,429
288.24,370,431
288.44,376,433
288.64,382,436
288.84,382,437
289.04,378,435
289.24,371,431
289.44,364,428
289.64,359,425
289.84,353,422
290.04,352,421
290.24,353,421
290.44,358,424
290.64,364,427
290.84,369,429
291.04,372,430
291.24,375,432
291.44,379,434
291.64,385,437
291.84,364,437
292.04,339,432
292.24,325,422
292.44,306,397
292.64,294,379
292.84,304,392
293.04,336,429
293.24,353,445
293.44,352,430
293.64,364,428
293.84,368,432
294.04,368,431
294.24,362,427
294.44,351,422
294.64,346,420
294.84,345,417
295.04,348,420
295.24,351,422
295.44,355,424
295.64,357,424
295.84,359,425
296.04,362,426
296.24,365,427
296.44,367,428
296.64,370,430
296.84,374,431
297.04,375,431
297.24,376,431
297.44,374,431
297.64,361,424
297.84,346,421
298.04,346,420
298.24,350,423
298.44,355,425
298.64,359,427
298.84,363,429
299.04,366,430
299.24,370,431
299.44,372,433
299.64,373,433
299.84,366,426
300.04,355,426
300.24,349,422
300.44,345,419
300.64,347,420
300.84,354,424
301.04,364,428
301.24,371,431
301.44,375,433
301.64,378,434
301.84,380,435
302.04,383,436
302.24,380,434
302.44,369,428
302.64,355,422
302.84,348,419
303.04,352,422
303.24,358,423
303.44,364,424
303.64,370,426
303.84,375,429
304.04,379,430
304.24,383,432
304.44,387,433
304.64,390,434
304.84,384,439
305.04,355,433
305.24,330,423
305.44,309,402
305.64,295,391
305.84,289,377
306.04,306,392
306.24,344,423
306.44,364,434
306.64,364,431
306.84,363,428
307.04,358,426
307.24,350,419
307.44,355,420
307.64,359,420
307.84,366,421
308.04,372,424
308.24,376,427
308.44,381,429
308.64,385,431
308.84,384,432
309.04,374,430
309.24,367,426
309.44,360,423
309.64,356,420
309.84,357,419
310.04,362,421
310.24,366,423
310.44,369,425
310.64,374,427
310.84,378,430
311.04,383,432
311.24,386,434
311.44,376,427
311.64,361,427
311.84,353,420
312.04,351,416
312.24,354,417
312.44,357,419
312.64,361,421
312.84,365,422
313.04,369,424
313.24,372,427
313.44,376,429
313.64,379,430
313.84,382,432
314.04,382,431
314.24,368,424
314.44,362,421
314.64,354,418
314.84,355,417
315.04,358,419
315.24,362,421
315.44,366,422
315.64,372,424
315.84,375,427
316.04,379,428
316.24,383,430
316.44,384,429
316.64,374,426
316.84,371,426
317.04,355,419
317.24,352,415
317.44,356,418
317.64,362,420
317.84,368,421
318.04,374,423
318.24,379,426
318.44,382,429
318.64,386,431
318.84,391,432
319.04,391,433
319.24,388,432
319.44,377,427
319.64,365,421
319.84,358,418
320.04,354,415
320.24,351,412
320.44,350,408
320.64,350,413
320.84,355,416
321.04,361,418
321.24,367,422
321.44,371,424
321.64,375,427
321.84,376,428
322.04,371,432
322.24,372,432
322.44,372,432
322.64,358,425
322.84,348,420
323.04,348,420
323.24,348,422
323.44,350,423
323.64,351,424
323.84,352,424
324.04,355,424
324.24,358,426
324.44,360,427
324.64,363,428
324.84,366,428
325.04,370,430
325.24,374,431
325.44,378,432
325.64,382,434
325.84,386,435
326.04,389,436
326.24,391,437
326.44,389,436
326.64,384,434
326.84,376,430
327.04,367,427
327.24,361,425
327.44,354,421
327.64,349,420
327.84,349,420
328.04,352,421
328.24,357,423
328.44,362,426
328.64,368,428
328.84,375,431
329.04,381,433
329.24,386,434
329.44,389,436
329.64,392,438
329.84,375,429
330.04,358,429
330.24,349,423
330.44,351,423
330.64,354,426
330.84,358,427
331.04,362,428
331.24,364,429
331.44,367,430
331.64,370,432
331.84,372,433
332.04,375,435
332.24,377,435
332.44,377,436
332.64,368,429
332.84,364,429
333.04,355,424
333.24,355,424
333.44,356,425
333.64,359,426
333.84,362,428
334.04,366,429
334.24,370,431
334.44,376,433
334.64,382,436
334.84,382,437
335.04,378,435
335.24,371,431
335.44,364,428
335.64,359,425
335.84,353,422
336.04,352,421
336.24,353,421
336.44,358,424
336.64,364,427
336.84,369,429
337.04,372,430
337.24,375,432
337.44,379,434
337.64,385,437
337.84,364,437
338.04,339,432
338.24,325,422
338.44,306,397
338.64,294,379
338.84,304,392
339.04,336,429
339.24,353,445
339.44,352,430
339.64,364,428
339.84,368,432
340.04,368,431
340.24,362,427
340.44,351,422
340.64,346,420
340.84,345,417
341.04,348,420
341.24,351,422
341.44,355,424
341.64,357,424
341.84,359,425
342.04,362,426
342.24,365,427
342.44,367,428
342.64,370,430
342.84,374,431
343.04,375,431
343.24,376,431
343.44,374,431
343.64,361,424
343.84,346,421
344.04,346,420
344.24,350,423
344.44,355,425
344.64,359,427
344.84,363,429
345.04,366,430
345.24,370,431
345.44,372,433
345.64,373,433
345.84,366,426
346.04,355,426
346.24,349,422
346.44,345,419
346.64,347,420
346.84,354,424
347.04,364,428
347.24,371,431
347.44,375,433
347.64,378,434
347.84,380,435
348.04,383,436
348.24,380,434
348.44,369,428
348.64,355,422
